,Title,Company,Rating,Location,Salary,Post_date,Extract_date,Job_url
1406,"(USA) Director, Data Science",Walmart,3.5,"['Sunnyvale, CA 94087']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=74cfd2589ac7d0d5&fccid=822bc5d9a49270ea&vjs=3
1407,Lead Data Scientist- Lumen MTS,Lumen,3.5,['Remote'],,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=746a1c4b8b6ec2c1&fccid=fa05afb3210273ab&vjs=3
1408,Lead Data Scientist/ML Engineer,TIBCO Software,3.8,['Remote'],,4 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=be1683a27a6c1b5a&fccid=53242361973750f7&vjs=3
1409,"Principal Data Scientist, Promotion Statistics & Experimenta...",Client,,['Remote'],,4 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AV8vU3o9nlw7wqa180ZkP3oAg17VLIhkP1SPyaIh_MQYPfN38aFgjhUwLM5lfptbk_flR03jnJgouHXiMngkyIeiG7O8nvt2y21ffLfK_F2RdJPVjyWmDYzWmnhR4XocUzaNuHjSLxJ73RVtj2XEXeSzzS4x-IvjyAiTrRluxmvNREBYM7Rf2yb2muWQ-OeQsfpwmUQqTa_TpRK9l8k3HHVAhtiBXM5sNStsNw6a6xY5MyWZjX17OyAMzvahn4vL10p1bDqBpoogcjs8ivtmSyygv4yjS0l7m_jVIbExoevHJn9rBzRnLk9Kis5dxzi4dpOuJOg23Nm-ZghuS7v9hYntjR5u1_XXo1wXRiZvI7ZNd2iCV4nQeqffiqvEV8Ez2oXsptF9Zq2Y4z6zXmCCrFMuAxqH-L4DlCAXE7LFegrY0fCAWjbaF_hnTRZBP0F3nNV4TvqV2pLGywcI8kSNULztod5FDyrI4=&p=11&fvj=1&vjs=3
1410,Lead Data Science Analyst,Discover,3.9,"['Riverwoods, IL 60015']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e87ddf5360265526&fccid=6ce7e0d9f67a9961&vjs=3
1411,"Director, Data Scientist - Corporate - US",Sysco,3.4,"['Houston, TX']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=714cfe9048af6e33&fccid=053befe8409ab9e4&vjs=3
1412,Senior Data Science Engineer |LATAM|,BairesDev,4.5,"['Colon, PA•Remote']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=1738f47c5a72fad2&fccid=29707109e86166e5&vjs=3
1413,"Data Scientist, Sr Consultant - Cleared",Guidehouse,3.4,"['Washington, DC 20006 (Foggy Bottom area)+4 locations']",,5 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O88p6qZY6rcvXK_-MbTcOrf43_XlIYZR7xob2o5lANtu-r01TZja5-lBaqtjG4VM-HlarcXeA93tQO2ezy1FbUsMEcVa4PiV97Z04YWiMWNxpniqdOTTIokJc8o7QdCgIlFvs7hSujvmjkBU9bRUJZNw-jIXhqaVF4LyZT1-dkk4qQB8ySeTZAzZnyGV9qE4AcQT8Si68eAKFQeh23aLymdGuH_5PjzYYfi_CpRapNrBIMFz-PCS1CVEy1F21tUAsG6fQqW6x18EqthrSqJ10BL6-Z93tfBUHFpDnTY57Q2X9XbAJc69QIh0cwxoWtrAIgwwU4hDKbtDiQLUAo98ANDZAbmNPrtWhAqbhsp6diIqA2etrlTxzNNJzLlQON1Cg3&p=10&fvj=0&vjs=3
1414,Lead Data Science Analyst - Digital Analytics,Discover,3.9,"['Riverwoods, IL 60015']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=93fc787b8d54aa23&fccid=6ce7e0d9f67a9961&vjs=3
1415,Lead Data Science Analyst,Discover,3.9,"['Riverwoods, IL 60015']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e87ddf5360265526&fccid=6ce7e0d9f67a9961&vjs=3
